date,last_price,open_price,max_price,min_price,avg_price
12/1/2011,4.3,4.3,4.3,4.3,4.3
11/1/2011,4.3,4.2,4.3,4.2,4.3
10/1/2011,4.2,4.2,4.2,4.2,4.2
9/1/2011,4.2,4.2,4.2,4.2,4.2
8/1/2011,4.2,4.1,4.2,4.1,4.2
7/1/2011,4.1,4.1,4.1,4.1,4.1
6/1/2011,4.1,4.1,4.1,4.1,4.1
5/1/2011,4.1,4.1,4.1,4.1,4.1
4/1/2011,4.1,4.1,4.1,4,4.1
3/1/2011,4.1,4,4.1,4,4
2/1/2011,4,4,4,4,4
1/1/2011,4,4,4,4,4
12/1/2010,4,4,4,4,4
11/1/2010,4,4,4,4,4
10/1/2010,4,4,4,3.9,4
9/1/2010,4,3.9,4,3.9,4
8/1/2010,3.9,3.9,4,3.9,3.9
7/1/2010,3.9,3.9,3.9,3.9,3.9
6/1/2010,3.9,3.9,3.9,3.9,3.9
5/1/2010,3.9,3.9,3.9,3.9,3.9
4/1/2010,3.9,3.9,3.9,3.9,3.9
3/1/2010,3.9,3.9,3.9,3.9,3.9
2/1/2010,3.9,3.8,3.9,3.8,3.8
1/1/2010,3.8,3.8,3.8,3.8,3.8
12/1/2009,3.8,3.8,3.8,3.8,3.8
11/1/2009,3.8,3.8,3.8,3.8,3.8
10/1/2009,3.8,3.8,3.8,3.8,3.8
9/1/2009,3.8,3.9,3.9,3.8,3.8
8/1/2009,3.9,3.8,3.9,3.8,3.8
7/1/2009,3.8,3.8,3.8,3.8,3.8
6/1/2009,3.8,3.7,3.8,3.7,3.8
5/1/2009,3.7,3.7,3.7,3.7,3.7
4/1/2009,3.7,3.7,3.7,3.7,3.7
3/1/2009,3.7,3.6,3.7,3.6,3.6
2/1/2009,3.6,3.5,3.6,3.5,3.5
1/1/2009,3.5,3.5,3.5,3.4,3.5
12/1/2008,3.5,3.4,3.5,3.4,3.4
11/1/2008,3.4,3.4,3.4,3.3,3.4
10/1/2008,3.4,3.1,3.4,3.1,3.3
9/1/2008,3.1,3,3.1,3,3.1
8/1/2008,3,3,3.1,3,3
7/1/2008,3,3,3,3,3
6/1/2008,3,3.1,3.1,3,3.1
5/1/2008,3.1,3.2,3.2,3.1,3.1
4/1/2008,3.2,3.2,3.2,3.1,3.2
